index;carat;cut;color;clarity;depth;table;price;x;y;z
906;0.2;Good;G;VS2;76.9;57.0;389.0;6.65;6.01;4.87
907;0.35;Ideal;G;SI1;39.1;61.6;839.0;5.5;7.94;2.63
908;0.98;Very Good;H;SI2;101.5;64.6;2887.0;5.36;5.38;5.45
909;0.61;Very Good;I;VS2;32.5;53.8;1356.0;6.72;7.74;2.35
910;0.2;Ideal;G;SI2;39.8;56.3;311.0;4.7;6.82;2.29
911;0.46;Ideal;G;VS1;119.4;58.2;1479.0;5.88;3.3;5.48
912;0.2;Fair;I;VVS2;93.0;57.3;300.0;7.27;4.0;5.24
913;0.93;Ideal;D;SI2;69.2;61.9;4343.0;4.47;7.07;3.99
914;0.2;Premium;G;SI2;49.7;63.5;300.0;6.59;7.46;3.49
915;0.23;Premium;G;VS1;33.3;63.1;300.0;4.75;6.23;1.83
916;1.03;Ideal;I;IF;89.7;60.1;5255.0;4.17;5.4;4.29
917;0.35;Ideal;G;SI2;55.1;58.2;1048.0;7.65;3.86;3.17
918;0.2;Fair;G;SI2;56.1;58.0;300.0;6.63;7.52;3.97
919;0.2;Very Good;J;VS1;63.1;62.0;663.0;6.49;4.77;3.55
920;0.23;Ideal;I;VS1;66.3;64.4;503.0;6.28;5.54;3.92
921;0.2;Very Good;G;VS2;131.6;57.5;300.0;3.17;3.35;4.29
922;0.67;Premium;J;VVS2;45.7;64.0;2449.0;7.9;6.68;3.33
923;0.41;Ideal;H;VVS2;47.8;56.0;1151.0;5.65;6.28;2.85
924;0.2;Premium;H;VVS1;88.8;54.8;387.0;7.97;3.2;4.96
925;0.2;Premium;G;IF;77.2;62.5;444.0;5.0;5.81;4.17
926;0.2;Premium;G;SI2;77.9;64.9;489.0;5.59;6.14;4.57
927;1.11;Very Good;D;SI2;98.4;60.1;4333.0;6.15;4.11;5.05
928;0.2;Premium;G;VS1;54.6;63.0;700.0;7.62;5.96;3.71
929;0.2;Very Good;E;VS1;102.7;61.8;300.0;3.06;4.83;4.05
930;0.2;Good;J;SI1;69.4;57.8;300.0;4.88;7.62;4.34
931;0.51;Ideal;J;VS1;55.0;57.1;1219.0;4.62;3.34;2.19
932;1.41;Premium;G;SI2;52.5;56.0;6180.0;6.31;3.26;2.51
933;0.27;Very Good;H;VS2;62.7;60.9;789.0;5.5;6.23;3.68
934;0.24;Good;H;VVS2;70.0;54.1;346.0;7.24;6.38;4.77
935;0.2;Ideal;F;SI2;42.1;64.7;410.0;6.98;7.43;3.03
936;0.31;Very Good;E;SI2;64.7;61.0;970.0;4.39;4.88;3.0
937;0.2;Fair;G;VS2;95.6;57.1;300.0;6.04;4.29;4.94
938;0.2;Ideal;G;SI1;57.2;61.9;653.0;6.23;5.94;3.48
939;0.2;Ideal;G;VS2;50.1;58.5;300.0;7.55;5.26;3.21
940;0.2;Very Good;H;VS2;83.9;58.6;348.0;5.69;5.01;4.49
941;0.2;Ideal;F;VVS2;98.3;61.3;639.0;5.3;3.1;4.13
942;0.56;Ideal;F;VVS1;51.2;55.5;2389.0;4.46;4.06;2.18
943;0.2;Ideal;F;SI1;64.7;53.8;498.0;3.39;6.16;3.09
944;0.8;Very Good;J;VS2;105.6;64.3;2264.0;4.71;4.23;4.72
945;0.2;Very Good;D;SI2;91.6;55.7;504.0;4.45;5.09;4.37
946;0.9;Premium;J;VS1;132.4;62.9;3363.0;5.03;3.05;5.35
947;0.24;Fair;E;VS1;32.9;58.4;624.0;6.13;6.57;2.09
948;0.2;Good;G;VVS1;97.9;60.7;300.0;3.39;4.54;3.88
949;0.2;Ideal;G;IF;78.8;63.1;395.0;6.52;6.83;5.26
950;0.2;Premium;D;IF;102.0;60.9;528.0;5.0;4.47;4.83
951;0.24;Good;H;VS2;63.9;62.1;437.0;6.84;7.18;4.48
952;0.2;Fair;J;VS1;28.9;60.3;300.0;7.67;5.64;1.92
953;0.26;Ideal;G;VS2;112.0;59.0;539.0;5.46;3.88;5.23
954;0.29;Good;F;VS1;83.3;57.1;476.0;3.77;5.57;3.89
955;0.2;Fair;I;IF;31.2;62.9;300.0;6.61;7.96;2.27
956;0.25;Fair;H;VS1;54.5;63.3;300.0;6.88;5.66;3.42
957;0.2;Ideal;H;VS2;49.0;55.0;417.0;5.9;7.24;3.22
958;0.45;Premium;G;IF;110.3;55.8;1542.0;4.52;5.02;5.26
959;0.2;Premium;I;SI2;81.2;60.8;520.0;7.23;5.48;5.16
960;0.21;Very Good;J;VS2;70.6;58.4;300.0;6.84;5.51;4.36
961;0.2;Ideal;J;SI1;106.2;53.1;413.0;5.32;4.98;5.47
962;0.2;Ideal;G;VS1;86.1;61.7;392.0;5.86;3.85;4.18
963;0.2;Premium;G;SI2;53.1;63.9;300.0;4.8;6.13;2.9
964;0.31;Ideal;G;VS2;32.6;56.6;680.0;5.94;6.71;2.06
965;0.2;Ideal;H;SI1;41.4;64.1;522.0;7.87;3.52;2.36
966;0.2;Premium;E;SI2;53.3;65.0;502.0;4.59;6.45;2.94
967;0.25;Very Good;G;VS1;54.9;54.7;394.0;3.67;4.92;2.36
968;0.34;Good;I;SI1;42.8;54.4;709.0;3.6;7.42;2.36
969;0.2;Premium;G;VS2;101.2;61.4;621.0;6.0;3.37;4.74
970;0.2;Premium;D;SI2;59.4;58.3;419.0;6.92;5.0;3.54
971;0.2;Premium;I;VVS1;55.9;59.7;787.0;4.56;7.9;3.48
972;0.2;Ideal;J;SI2;146.6;58.7;300.0;3.61;3.43;5.16
973;0.47;Very Good;F;VS1;81.7;64.4;1534.0;3.28;7.73;4.5
974;0.94;Ideal;H;VS2;81.3;59.4;3931.0;7.55;3.67;4.56
975;0.2;Good;E;SI1;35.2;61.2;300.0;4.56;7.98;2.21
976;0.3;Ideal;F;VS2;114.4;57.8;635.0;4.25;3.55;4.46
977;0.2;Ideal;J;VVS2;81.6;55.3;383.0;4.04;7.33;4.64
978;0.26;Ideal;F;SI2;109.5;55.8;652.0;3.49;5.95;5.17
979;0.2;Premium;H;VS2;27.9;55.9;300.0;5.89;7.89;1.92
980;0.25;Premium;G;VS2;78.0;54.1;300.0;6.73;4.22;4.27
981;0.95;Premium;E;VVS1;68.3;55.1;5237.0;7.9;6.27;4.84
982;0.2;Premium;G;VS1;45.0;56.9;308.0;6.8;4.84;2.62
983;0.57;Very Good;I;SI1;43.7;63.0;1129.0;6.56;4.06;2.32
984;0.2;Ideal;G;VS1;96.8;61.6;533.0;6.81;3.07;4.78
985;0.2;Ideal;D;VS2;62.6;61.6;727.0;5.68;3.33;2.82
986;0.2;Fair;F;VS2;43.9;62.2;427.0;5.02;7.1;2.66
987;0.2;Good;E;VS1;48.9;55.0;300.0;3.16;5.63;2.15
988;0.2;Ideal;G;SI1;96.9;54.0;580.0;4.7;3.43;3.94
989;0.41;Ideal;G;VS1;65.2;58.1;908.0;5.76;3.14;2.9
990;0.5;Premium;I;VVS1;52.7;63.4;2017.0;7.25;7.25;3.82
991;0.56;Premium;H;SI2;42.2;58.7;1451.0;5.45;7.86;2.81
992;0.27;Very Good;G;VS1;58.3;59.5;300.0;3.28;4.33;2.22
993;0.46;Premium;J;VS2;60.6;54.1;1065.0;5.28;7.19;3.78
994;0.2;Good;G;VS1;84.6;61.3;300.0;4.33;4.18;3.6
995;0.2;Fair;J;VVS2;62.9;56.8;445.0;5.78;7.25;4.1
996;0.2;Very Good;E;VS2;80.5;56.3;300.0;5.49;5.34;4.36
997;0.2;Premium;G;VVS2;71.4;54.4;588.0;7.18;7.9;5.38
998;0.21;Fair;H;VS1;29.9;64.4;316.0;7.81;7.62;2.31
999;0.49;Ideal;H;VVS2;69.6;57.4;1678.0;4.1;7.69;4.1
1000;0.2;Good;F;VS2;34.7;60.3;712.0;6.3;6.71;2.26
1001;0.44;Ideal;I;IF;99.3;61.3;1282.0;3.05;4.08;3.54
1002;0.83;Good;I;VS2;45.6;57.4;2571.0;4.78;6.84;2.65
1003;0.2;Fair;H;VS2;49.3;59.9;300.0;7.65;7.41;3.71
1004;0.2;Premium;G;VS1;92.8;63.8;460.0;4.22;6.62;5.03
1005;1.24;Good;F;VS1;123.7;61.7;5667.0;3.73;4.81;5.28
1006;0.2;Very Good;H;VS2;66.1;54.5;300.0;6.84;7.26;4.66
1007;0.24;Ideal;E;SI1;92.6;61.6;540.0;6.47;3.7;4.71
1008;0.21;Good;G;VVS1;84.0;60.9;381.0;5.48;5.69;4.69
1009;0.2;Good;G;VS2;46.0;62.6;300.0;7.71;6.72;3.32
1010;0.51;Premium;G;SI2;51.7;63.3;1710.0;6.32;5.6;3.08
1011;0.2;Good;H;SI1;48.7;64.6;446.0;6.47;7.03;3.29
1012;0.2;Very Good;H;VS2;73.0;54.5;300.0;3.42;4.31;2.82
1013;0.61;Fair;I;VVS2;86.8;63.1;1194.0;5.39;5.03;4.52
1014;0.21;Ideal;G;VS1;94.7;58.2;563.0;7.44;3.18;5.03
1015;0.53;Good;G;VVS2;66.9;63.4;1351.0;7.37;5.07;4.16
1016;0.2;Premium;E;SI2;101.3;59.2;300.0;6.2;4.44;5.39
1017;0.2;Ideal;I;VS1;29.0;54.9;300.0;5.94;7.9;2.01
1018;0.58;Premium;H;VVS2;75.3;57.4;2360.0;3.75;7.16;4.11
1019;0.2;Ideal;I;SI1;92.1;58.6;525.0;7.25;4.41;5.37
1020;0.62;Good;J;IF;37.1;64.8;1623.0;6.08;3.78;1.83
1021;0.2;Good;H;VS1;42.8;55.3;300.0;4.25;5.28;2.04
1022;0.21;Ideal;G;VS1;43.4;53.4;570.0;4.65;7.19;2.57
1023;0.74;Fair;E;SI2;52.5;61.2;1950.0;3.81;6.43;2.69
1024;0.22;Good;F;SI2;95.9;54.6;447.0;6.85;3.08;4.76
1025;0.2;Premium;J;VS2;62.2;53.2;300.0;3.42;6.97;3.23
1026;0.75;Good;I;VVS2;103.5;53.0;1849.0;6.24;3.52;5.05
1027;0.68;Fair;F;VS2;71.3;56.7;1720.0;5.82;3.41;3.29
1028;0.2;Very Good;H;IF;51.8;57.6;514.0;7.09;6.0;3.39
1029;0.2;Ideal;I;SI1;64.9;60.9;300.0;4.07;7.76;3.84
1030;0.49;Premium;E;VS1;38.8;59.3;1819.0;3.23;7.53;2.09
1031;0.2;Premium;G;VS1;46.9;59.0;300.0;7.8;6.06;3.25
1032;0.2;Ideal;H;VS1;105.2;57.5;366.0;3.53;5.92;4.97
1033;0.2;Premium;G;VVS2;38.4;63.6;300.0;6.28;5.44;2.25
1034;0.59;Very Good;G;SI1;79.3;59.5;1646.0;4.87;3.93;3.49
1035;0.5;Ideal;H;VS2;45.2;54.5;1525.0;4.45;7.37;2.67
1036;0.63;Ideal;J;VS2;72.5;60.4;2155.0;5.89;6.66;4.55
1037;0.2;Ideal;J;VVS2;124.7;57.5;312.0;4.97;3.1;5.03
1038;1.67;Good;G;VS2;72.8;63.4;7393.0;5.27;7.95;4.81
1039;1.33;Very Good;G;VS2;72.9;56.8;5844.0;4.52;7.64;4.43
1040;0.2;Good;J;VVS1;54.5;54.5;314.0;4.13;7.99;3.3
1041;0.2;Good;E;VS1;83.5;62.9;689.0;5.44;6.75;5.09
1042;0.8;Premium;E;VS1;57.3;56.2;2999.0;5.66;5.16;3.1
1043;0.66;Good;F;IF;65.4;56.8;2208.0;4.17;3.2;2.41
1044;1.66;Premium;G;VS1;125.5;57.8;9653.0;3.64;3.74;4.63
1045;0.86;Fair;J;VVS2;74.0;59.9;2613.0;7.36;6.1;4.98
1046;0.2;Good;I;VS1;139.1;57.4;300.0;3.72;4.06;5.41
1047;0.61;Good;I;SI1;56.2;55.9;1316.0;4.3;5.52;2.76
1048;0.2;Very Good;I;IF;92.5;61.3;300.0;5.52;4.56;4.66
1049;0.3;Ideal;D;VVS1;66.4;59.3;1056.0;4.47;7.75;4.06
1050;0.84;Very Good;G;SI2;63.2;57.8;2570.0;6.55;5.51;3.81
1051;0.83;Ideal;F;VVS1;59.9;57.5;3878.0;4.83;7.29;3.63
1052;0.66;Very Good;I;VVS1;59.9;63.9;2006.0;6.5;6.25;3.82
1053;0.2;Ideal;E;VS2;55.2;59.8;318.0;3.81;4.56;2.31
1054;0.75;Very Good;G;VS2;123.5;54.0;2405.0;4.42;3.95;5.17
1055;0.34;Premium;J;VS1;38.9;55.1;881.0;7.83;6.48;2.78
1056;0.48;Good;G;VVS1;59.8;55.1;1470.0;6.79;7.67;4.32
1057;0.2;Very Good;I;VS2;51.3;60.1;300.0;6.19;4.1;2.64
1058;0.2;Premium;G;VVS1;36.1;54.8;824.0;3.35;7.55;1.97
1059;0.2;Very Good;G;SI2;118.7;54.1;300.0;5.46;3.62;5.39
1060;0.2;Good;J;SI2;76.1;61.7;300.0;3.25;6.05;3.54
1061;0.5;Ideal;D;SI1;36.5;53.7;1626.0;5.99;5.63;2.12
1062;0.2;Ideal;H;SI1;76.7;63.3;572.0;3.48;5.83;3.57
1063;0.2;Ideal;H;SI2;57.3;53.0;748.0;6.01;5.62;3.33
1064;0.87;Good;D;VS1;31.2;56.2;3677.0;4.42;7.37;1.84
1065;0.59;Good;F;VS2;63.6;56.3;1570.0;3.79;6.08;3.14
1066;0.4;Good;F;SI2;34.4;56.1;970.0;3.94;6.81;1.85
1067;0.33;Ideal;G;VVS2;85.6;54.4;1134.0;4.35;6.87;4.8
1068;0.4;Good;H;SI2;46.4;57.5;763.0;7.5;6.73;3.3
1069;0.24;Good;J;VS1;77.2;54.7;348.0;5.64;3.92;3.69
1070;0.28;Ideal;G;VVS1;103.1;53.1;439.0;4.48;4.99;4.88
1071;0.22;Good;I;SI1;72.4;57.4;601.0;7.99;6.4;5.21
1072;0.2;Premium;E;VS1;48.5;58.5;565.0;3.51;7.13;2.58
1073;0.2;Fair;I;VS1;77.4;55.9;300.0;4.25;3.89;3.15
1074;1.01;Very Good;J;IF;35.7;57.9;3927.0;5.43;5.34;1.92
1075;0.2;Very Good;G;VS2;37.3;55.7;562.0;4.59;6.39;2.05
1076;0.61;Ideal;F;IF;62.8;55.1;2588.0;5.94;5.31;3.53
1077;0.21;Very Good;E;VS2;64.8;57.4;629.0;5.17;6.32;3.72
1078;0.2;Ideal;H;VS2;71.0;62.1;630.0;4.36;6.4;3.82
1079;0.41;Premium;F;VS1;81.8;63.4;1386.0;4.66;3.68;3.41
1080;1.27;Very Good;H;IF;60.6;63.7;6180.0;7.02;5.59;3.82
1081;0.73;Ideal;F;VVS2;86.9;62.4;3338.0;3.37;7.31;4.64
1082;0.57;Ideal;J;SI1;67.3;54.9;1746.0;4.7;6.17;3.66
1083;1.05;Fair;G;SI1;69.3;54.8;3057.0;3.04;6.19;3.2
1084;0.2;Very Good;J;VS1;85.5;56.1;572.0;4.59;5.49;4.31
1085;0.2;Ideal;F;VS1;32.6;58.8;300.0;7.69;3.52;1.83
1086;0.2;Ideal;F;VVS2;106.8;53.9;623.0;4.74;3.89;4.61
1087;0.61;Premium;G;VS2;69.9;59.6;1785.0;4.94;3.73;3.03
1088;0.2;Premium;G;VVS2;67.4;63.7;483.0;7.57;3.29;3.66
1089;0.44;Good;I;VS1;76.3;61.3;1198.0;3.92;4.68;3.28
1090;0.45;Premium;H;SI2;48.1;59.0;1003.0;7.22;3.13;2.49
1091;0.2;Very Good;G;VS1;73.7;59.1;402.0;6.01;7.97;5.15
1092;0.25;Ideal;I;VVS1;54.5;63.7;344.0;4.85;7.14;3.27
1093;0.2;Premium;D;VS2;62.1;55.6;449.0;6.44;4.97;3.54
1094;0.53;Fair;E;VVS1;106.2;64.0;1575.0;3.16;5.86;4.79
1095;0.3;Premium;I;VS2;41.5;62.5;646.0;5.41;4.32;2.02
1096;0.2;Premium;F;VS1;84.3;54.6;580.0;5.24;6.41;4.91
1097;0.25;Ideal;J;VS1;88.2;61.3;436.0;3.19;3.23;2.83
1098;0.37;Ideal;E;VS2;127.7;58.6;1387.0;3.66;3.53;4.59
1099;0.2;Premium;E;VS2;84.9;61.3;320.0;7.82;4.08;5.05
1100;0.31;Premium;I;VVS2;84.3;58.7;578.0;3.22;4.04;3.06
1101;0.25;Ideal;G;VVS2;87.8;62.3;455.0;3.49;5.35;3.88
1102;0.31;Ideal;F;VS1;77.4;63.0;604.0;6.21;6.69;4.99
1103;0.26;Good;F;SI1;61.0;62.3;370.0;7.19;7.17;4.38
1104;0.25;Fair;F;SI1;60.3;55.1;322.0;6.32;5.19;3.47
1105;0.34;Good;G;SI2;55.9;62.5;567.0;3.55;3.1;1.86
1106;0.2;Premium;H;VS2;46.9;61.2;300.0;7.4;4.02;2.68
1107;0.2;Good;I;SI1;90.7;59.9;300.0;5.23;5.2;4.73
1108;0.26;Ideal;D;VVS2;68.9;56.1;773.0;6.07;4.64;3.69
1109;0.2;Premium;H;VVS1;77.3;64.0;587.0;6.07;7.61;5.29
1110;0.47;Ideal;G;VVS2;60.2;59.0;1324.0;5.89;7.19;3.94
1111;0.25;Very Good;J;SI1;63.9;61.1;588.0;6.48;7.1;4.34
1112;0.2;Good;E;VVS2;99.1;53.9;300.0;3.74;6.15;4.9
1113;0.2;Ideal;I;SI2;61.3;54.9;329.0;4.41;5.94;3.17
1114;0.2;Ideal;H;SI1;127.6;57.4;447.0;5.08;3.01;5.16
1115;0.24;Premium;F;SI2;46.5;56.1;729.0;7.57;7.37;3.47
1116;0.8;Ideal;I;VS2;76.8;57.4;3223.0;4.82;4.84;3.71
1117;0.2;Very Good;H;SI1;48.5;56.6;551.0;3.28;5.54;2.14
1118;0.28;Good;G;SI1;53.2;57.9;793.0;5.26;3.27;2.27
1119;0.2;Ideal;J;SI1;30.7;54.7;346.0;5.14;7.63;1.96
1120;0.63;Ideal;G;VVS1;114.7;53.6;2700.0;3.19;4.03;4.14
1121;0.2;Very Good;F;SI2;111.2;63.4;300.0;3.38;4.75;4.52
1122;0.2;Premium;E;VS1;71.3;62.7;643.0;5.29;5.28;3.77
1123;0.2;Very Good;E;SI2;110.5;61.5;722.0;5.56;3.51;5.01
1124;0.29;Premium;G;VVS2;55.8;58.6;809.0;7.47;6.61;3.93
1125;0.2;Premium;H;VVS2;69.1;54.7;652.0;5.11;5.13;3.54
1126;0.62;Ideal;H;VS2;62.5;62.3;2326.0;6.46;7.34;4.31
1127;0.62;Premium;I;VS1;63.1;62.7;2128.0;7.88;7.85;4.96
1128;0.2;Premium;G;VVS1;53.7;60.8;582.0;7.1;7.24;3.85
1129;0.25;Good;D;VVS2;46.4;57.0;796.0;5.27;4.99;2.38
1130;0.33;Ideal;G;VS1;30.0;56.8;727.0;7.05;7.29;2.15
1131;0.2;Premium;G;VS2;58.1;59.6;351.0;4.65;7.36;3.49
1132;0.2;Very Good;E;VVS1;45.2;62.7;300.0;7.01;4.22;2.54
1133;0.64;Good;G;VS1;80.8;59.8;1670.0;4.52;7.51;4.86
1134;0.32;Very Good;F;VS2;75.6;56.3;629.0;7.63;6.41;5.31
1135;0.48;Ideal;H;SI1;64.5;61.1;1419.0;5.84;4.71;3.4
1136;0.2;Ideal;H;VVS2;75.6;59.2;720.0;5.48;6.55;4.55
1137;0.2;Good;E;VVS2;42.4;61.7;793.0;3.57;5.81;1.99
1138;0.2;Very Good;E;VS1;54.7;53.2;592.0;3.85;3.86;2.11
1139;0.2;Premium;G;SI2;60.8;60.8;300.0;6.2;5.01;3.41
1140;0.85;Premium;H;VS2;110.8;64.8;2871.0;4.52;3.73;4.57
1141;0.25;Fair;I;VS1;36.0;61.4;543.0;7.9;6.21;2.54
1142;0.48;Very Good;I;SI2;120.1;58.5;1133.0;3.4;3.13;3.92
1143;0.2;Good;H;SI2;51.2;55.0;300.0;5.59;5.08;2.73
1144;0.2;Ideal;J;VVS1;59.3;55.2;356.0;3.85;3.7;2.24
1145;0.2;Ideal;J;SI1;100.9;62.3;336.0;4.91;5.73;5.37
1146;0.2;Premium;G;SI2;84.0;60.5;300.0;5.0;5.07;4.23
1147;0.66;Ideal;I;VVS1;66.6;53.5;2263.0;7.55;4.52;4.02
1148;0.2;Good;I;VVS2;42.0;63.8;300.0;7.41;6.63;2.95
1149;0.2;Ideal;E;SI1;34.1;54.5;414.0;5.96;6.76;2.17
1150;0.81;Ideal;H;SI2;40.8;59.6;2802.0;5.03;6.49;2.35
1151;0.2;Ideal;G;VS1;84.6;55.8;300.0;4.9;4.58;4.01
1152;0.26;Ideal;G;VVS2;70.1;55.9;411.0;3.63;7.87;4.03
1153;0.2;Premium;H;VVS1;90.0;54.3;645.0;5.71;3.67;4.22
1154;0.2;Ideal;J;SI1;53.2;53.7;300.0;5.07;7.38;3.31
1155;0.62;Fair;E;VS2;69.1;54.1;1241.0;7.77;6.52;4.94
1156;0.71;Premium;H;VS1;41.6;55.8;2510.0;4.42;7.25;2.43
1157;0.2;Good;I;SI1;45.8;64.9;480.0;7.51;4.37;2.72
1158;0.21;Ideal;G;SI1;44.5;58.7;644.0;4.27;4.98;2.06
1159;0.99;Premium;I;SI1;60.7;64.9;3505.0;7.77;5.08;3.9
1160;0.44;Ideal;J;VS1;55.4;61.0;1336.0;3.97;4.66;2.39
1161;0.34;Ideal;G;SI2;111.9;64.3;565.0;3.81;4.68;4.75
1162;0.2;Ideal;G;VS1;47.6;59.2;445.0;6.25;4.8;2.63
1163;0.2;Premium;E;VS1;129.4;59.5;577.0;3.76;4.57;5.39
1164;0.27;Premium;G;SI2;47.8;58.2;393.0;5.18;7.57;3.05
1165;0.38;Good;D;VS1;73.0;57.9;838.0;4.76;7.62;4.52
1166;0.27;Good;G;VS2;37.1;60.3;406.0;6.32;6.79;2.43
1167;0.22;Good;J;SI2;46.5;65.0;300.0;7.15;6.36;3.14
1168;0.32;Good;I;SI2;34.3;61.5;492.0;6.62;5.45;2.07
1169;0.2;Ideal;F;SI2;35.6;56.0;462.0;7.69;6.12;2.46
1170;0.98;Good;G;VVS2;87.4;60.5;3624.0;5.64;4.15;4.28
1171;0.25;Very Good;G;SI2;47.0;54.3;356.0;3.43;4.91;1.96
1172;0.38;Premium;I;VVS2;102.7;59.2;970.0;4.49;5.56;5.16
1173;0.39;Very Good;I;VS2;65.9;61.0;924.0;5.29;4.85;3.34
1174;0.2;Premium;E;VVS2;60.7;54.3;411.0;7.68;5.07;3.87
1175;0.47;Very Good;I;SI1;106.3;55.1;950.0;4.95;4.61;5.08
1176;0.2;Fair;G;SI1;45.7;55.1;361.0;3.2;6.21;2.15
1177;0.2;Ideal;H;VS2;38.3;58.4;378.0;3.78;6.45;1.96
1178;0.2;Premium;H;VVS2;155.3;59.8;634.0;3.88;3.14;5.45
1179;0.2;Very Good;G;VS1;53.0;58.3;484.0;5.8;6.34;3.22
1180;0.25;Very Good;I;VS2;46.5;53.5;493.0;7.5;5.7;3.07
1181;0.56;Premium;F;VS2;90.6;55.2;1818.0;4.39;4.44;4.0
1182;0.25;Premium;G;VS1;79.0;62.3;822.0;5.27;7.82;5.17
1183;0.59;Premium;H;VS2;133.5;64.2;1878.0;4.38;3.59;5.32
1184;0.2;Fair;D;VVS1;48.7;64.8;550.0;5.27;4.63;2.41
1185;0.2;Premium;G;VS1;34.3;54.4;300.0;6.53;7.91;2.48
1186;0.43;Ideal;F;SI2;82.8;54.6;990.0;4.87;3.32;3.39
1187;0.28;Ideal;G;VVS1;59.4;55.1;1058.0;5.03;5.07;3.0
1188;0.2;Ideal;E;SI1;87.6;53.1;791.0;3.31;3.61;3.03
1189;0.2;Ideal;G;VS2;47.6;62.0;490.0;6.15;5.44;2.76
1190;0.2;Good;J;SI1;53.8;64.5;379.0;3.56;5.89;2.54
1191;0.2;Ideal;G;VVS2;62.8;63.3;300.0;5.33;4.44;3.07
1192;0.24;Very Good;H;VVS2;34.4;63.1;491.0;7.42;4.57;2.06
1193;0.2;Premium;J;VS1;86.7;59.7;300.0;4.51;4.12;3.74
1194;0.2;Good;I;VVS2;26.2;53.4;477.0;7.83;7.04;1.95
1195;0.32;Premium;G;IF;35.8;64.7;968.0;5.22;6.05;2.02
1196;0.39;Ideal;G;SI2;60.2;59.3;1309.0;6.11;3.75;2.97
1197;0.34;Ideal;H;VS2;112.3;60.0;831.0;4.57;3.07;4.29
1198;0.81;Ideal;D;VS2;82.6;62.2;3711.0;7.53;5.33;5.31
1199;0.2;Premium;I;VVS1;104.4;57.6;428.0;6.31;3.23;4.98
1200;0.2;Premium;H;VS2;57.1;56.6;502.0;4.52;7.73;3.5
1201;0.2;Very Good;E;SI1;33.7;58.9;300.0;7.17;6.41;2.29
1202;0.94;Fair;H;VVS1;37.1;59.3;3020.0;6.37;6.67;2.42
1203;0.23;Ideal;J;VVS2;64.1;59.8;417.0;5.77;7.43;4.23
1204;0.31;Fair;E;VS2;66.6;56.4;865.0;5.35;4.38;3.24
1205;0.2;Good;G;VS1;91.7;57.1;536.0;4.12;5.37;4.35
1206;0.2;Very Good;G;SI2;44.0;64.8;542.0;7.5;6.81;3.15
1207;0.2;Ideal;F;VS2;81.4;54.8;681.0;4.18;6.93;4.52
1208;0.86;Good;I;SI2;66.8;55.6;2036.0;3.82;3.07;2.3
1209;0.87;Fair;G;VVS1;100.0;62.5;2761.0;4.1;6.72;5.41
1210;0.2;Fair;H;VVS1;62.7;54.9;438.0;7.28;7.23;4.55
1211;0.37;Premium;J;SI1;42.9;62.9;416.0;7.93;5.65;2.91
1212;0.32;Premium;G;VS1;140.7;58.3;890.0;3.72;3.43;5.03
1213;0.26;Ideal;D;VVS2;74.4;63.5;473.0;4.55;7.89;4.63
1214;0.36;Premium;G;VS1;48.9;64.1;864.0;3.35;7.9;2.75
1215;0.23;Ideal;I;VVS1;47.3;64.4;801.0;4.5;6.32;2.56
1216;0.2;Very Good;G;SI2;58.5;54.1;300.0;6.89;3.74;3.11
1217;0.2;Premium;F;VS1;144.8;60.5;300.0;3.47;3.38;4.96
1218;0.98;Ideal;G;VVS2;41.7;55.4;4717.0;7.06;7.51;3.04
1219;0.2;Good;J;VVS1;83.0;64.4;568.0;7.25;3.16;4.32
1220;0.2;Premium;I;VVS1;71.4;58.7;328.0;6.44;3.62;3.59
1221;0.2;Premium;E;VS1;67.1;60.0;439.0;6.24;6.97;4.43
1222;0.21;Very Good;G;VS1;55.4;60.9;318.0;5.39;6.74;3.36
1223;0.2;Ideal;J;SI1;41.8;64.0;300.0;7.81;4.63;2.6
1224;0.41;Premium;G;VS1;89.7;55.5;1166.0;7.47;3.7;5.01
1225;0.27;Premium;G;SI2;75.5;60.3;412.0;6.78;4.32;4.19
1226;0.33;Good;I;VS2;109.7;53.1;936.0;5.33;3.42;4.8
1227;0.33;Very Good;F;VS2;59.9;64.5;678.0;3.54;6.51;3.01
1228;0.23;Premium;H;VS2;60.0;62.4;684.0;6.79;4.74;3.46
1229;0.25;Good;H;VS1;103.9;60.2;550.0;5.13;3.17;4.31
1230;0.2;Ideal;J;SI1;46.2;55.9;300.0;6.6;4.99;2.68
1231;0.2;Fair;F;VVS1;34.7;62.0;300.0;6.87;3.72;1.84
1232;0.21;Premium;H;VS2;53.6;64.9;873.0;5.88;6.13;3.22
1233;0.26;Ideal;I;VS1;71.9;65.0;312.0;7.37;5.21;4.52
1234;0.2;Ideal;G;SI1;48.7;61.3;530.0;4.3;5.31;2.34
1235;0.2;Ideal;I;VS2;85.9;54.3;397.0;5.84;3.12;3.85
1236;0.2;Very Good;F;VS2;88.6;62.9;300.0;5.63;4.8;4.62
1237;0.48;Good;H;VS1;77.7;60.1;1113.0;7.48;6.65;5.49
1238;0.87;Premium;D;VS1;45.2;53.6;4222.0;7.56;5.15;2.87
1239;0.63;Very Good;D;VVS2;56.7;64.5;2585.0;7.89;4.42;3.49
1240;1.31;Ideal;G;VVS1;49.1;55.0;7901.0;4.8;4.21;2.21
1241;0.2;Very Good;G;SI2;62.5;57.3;588.0;5.06;4.35;2.94
